Date,Price,Open,High,Low,Vol.Change %,True Range,Max_Range,Min_Range,Simple Moving Average ,Del C,Output(3 Days)
01-10-2014,1.6186,1.6214,1.6253,1.6162,-0.17%,,,,,,1.6084
02-10-2014,1.6143,1.6185,1.625,1.6111,-0.27%,,,,,,1.6096
03-10-2014,1.5964,1.6145,1.616,1.5953,-1.11%,,,,,,1.6168
06-10-2014,1.6084,1.5959,1.61,1.5943,0.75%,,,,,,1.6119
07-10-2014,1.6096,1.6084,1.613,1.6025,0.07%,,,,,,1.6078
08-10-2014,1.6168,1.6095,1.6182,1.603,0.45%,,,,,,1.6085
09-10-2014,1.6119,1.617,1.6228,1.6104,-0.30%,,,,,,1.5905
10-10-2014,1.6078,1.612,1.6138,1.6009,-0.25%,,,,,,1.6021
13-10-2014,1.6085,1.6077,1.6128,1.6051,0.04%,,,,,,1.6088
14-10-2014,1.5905,1.6086,1.6103,1.5896,-1.12%,,,,,,1.6094
15-10-2014,1.6021,1.5903,1.6071,1.5875,0.73%,,,,,,1.6165
16-10-2014,1.6088,1.6022,1.6097,1.5941,0.42%,,,,,,1.6111
17-10-2014,1.6094,1.609,1.6128,1.6029,0.04%,0.0207000000000002,1.6253,1.5943,1.9306,0.0123999999999995,1.605
20-10-2014,1.6165,1.6097,1.6182,1.608,0.44%,0.0207000000000002,1.625,1.5896,1.92936,0.00880000000000081,1.6031
21-10-2014,1.6111,1.6164,1.6187,1.6111,-0.33%,0.0207000000000002,1.6228,1.5875,1.92848,-0.00189999999999912,1.609
22-10-2014,1.605,1.6109,1.6132,1.601,-0.38%,0.0207000000000002,1.6228,1.5875,1.92867,-0.0150000000000006,1.612
23-10-2014,1.6031,1.6052,1.6062,1.5996,-0.12%,0.0207000000000002,1.6228,1.5875,1.93017,0.00319999999999965,1.613
24-10-2014,1.609,1.6031,1.61,1.6018,0.37%,0.0207000000000002,1.6228,1.5875,1.92985,0.0063999999999993,1.6011
27-10-2014,1.612,1.6098,1.6147,1.6077,0.19%,0.0207000000000002,1.6228,1.5875,1.92921,0.00720000000000098,1.6
28-10-2014,1.613,1.612,1.6183,1.6086,0.06%,0.0207000000000002,1.6187,1.5875,1.92849,0,1.5998
29-10-2014,1.6011,1.6134,1.6163,1.6002,-0.74%,0.0207000000000002,1.6187,1.5875,1.92849,-0.00570000000000093,1.5972
30-10-2014,1.6,1.6014,1.604,1.5951,-0.07%,0.0207000000000002,1.6187,1.5875,1.92906,0.00720000000000098,1.6004
31-10-2014,1.5998,1.6002,1.6017,1.5944,-0.01%,0.0196000000000001,1.6187,1.5875,1.92834,-0.00989999999999824,1.5977
03-11-2014,1.5972,1.5977,1.602,1.5927,-0.16%,0.0161,1.6187,1.5941,1.92933,0.00450000000000017,1.5831
04-11-2014,1.6004,1.5972,1.6016,1.5964,0.20%,0.0161,1.6187,1.5996,1.92888,0.0117999999999974,1.5873
05-11-2014,1.5977,1.6004,1.6024,1.587,-0.17%,0.0161,1.6187,1.5951,1.9277,0.00929999999999964,1.5842
06-11-2014,1.5831,1.5978,1.6004,1.5825,-0.91%,0.0161,1.6187,1.5944,1.92677,0.0186000000000028,1.5919
07-11-2014,1.5873,1.5833,1.5888,1.5791,0.27%,0.0179,1.6183,1.5927,1.92491,0.0275999999999996,1.5781
10-11-2014,1.5842,1.5875,1.5919,1.584,-0.20%,0.0179,1.6183,1.5927,1.92215,0.0176999999999978,1.5711
11-11-2014,1.5919,1.5842,1.5945,1.5833,0.49%,0.0179,1.6183,1.587,1.92038,0.0189000000000021,1.5669
12-11-2014,1.5781,1.5922,1.5943,1.5776,-0.87%,0.0179,1.6183,1.5825,1.91849,0.0175999999999981,1.5641
13-11-2014,1.5711,1.5781,1.5782,1.5694,-0.44%,0.0179,1.6183,1.5791,1.91673,0.0338999999999992,1.5634
14-11-2014,1.5669,1.5711,1.5713,1.5593,-0.27%,0.0179,1.6163,1.5791,1.91334,0.0423000000000009,1.5682
17-11-2014,1.5641,1.5669,1.5737,1.5619,-0.18%,0.0179,1.604,1.5791,1.90911,0.0345000000000013,1.5695
18-11-2014,1.5634,1.5642,1.5682,1.563,-0.04%,0.0179,1.6024,1.5776,1.90566,0.0359999999999978,1.5655
19-11-2014,1.5682,1.563,1.5721,1.5589,0.31%,0.0179,1.6024,1.5694,1.90206,0.0347000000000008,1.5705
20-11-2014,1.5695,1.5683,1.5738,1.5632,0.08%,0.0179,1.6024,1.5593,1.89859,0.0289000000000001,1.5708
21-11-2014,1.5655,1.5694,1.5716,1.5628,-0.25%,0.0179,1.6024,1.5593,1.8957,0.0310000000000024,1.5792
24-11-2014,1.5705,1.5657,1.5715,1.5627,0.32%,0.0179,1.6004,1.5593,1.8926,0.0320999999999998,1.5736
25-11-2014,1.5708,1.5708,1.5736,1.5648,0.02%,0.0167000000000002,1.5945,1.5589,1.88939,0.0124999999999993,1.5648
26-11-2014,1.5792,1.571,1.5807,1.5679,0.53%,0.0167000000000002,1.5945,1.5589,1.88814,0.0165000000000006,1.573
27-11-2014,1.5736,1.5794,1.5828,1.5716,-0.35%,0.0167000000000002,1.5945,1.5589,1.88649,0.00479999999999947,1.5636
28-11-2014,1.5648,1.5736,1.5743,1.5614,-0.56%,0.0167000000000002,1.5943,1.5589,1.88601,0.0185999999999993,1.5686
01-12-2014,1.573,1.565,1.5765,1.5587,0.52%,0.0132000000000001,1.5828,1.5589,1.88415,0.0131000000000014,1.5673
02-12-2014,1.5636,1.5729,1.5744,1.563,-0.60%,0.0178,1.5828,1.5589,1.88284,-0.00180000000000291,1.5583
03-12-2014,1.5686,1.5637,1.5719,1.5619,0.32%,0.0178,1.5828,1.5589,1.88302,0.0032000000000032,1.5653
04-12-2014,1.5673,1.5686,1.5726,1.5642,-0.08%,0.0178,1.5828,1.5589,1.8827,-0.0044000000000004,1.5671
05-12-2014,1.5583,1.5675,1.5697,1.557,-0.57%,0.0178,1.5828,1.5587,1.88314,-0.00450000000000017,1.5716
08-12-2014,1.5653,1.5588,1.5682,1.5542,0.45%,0.0178,1.5828,1.5587,1.88359,0.00949999999999918,1.5732
09-12-2014,1.5671,1.5654,1.5719,1.5626,0.11%,0.0178,1.5828,1.5587,1.88264,0.00400000000000134,1.572
10-12-2014,1.5716,1.5672,1.5722,1.5648,0.29%,0.0178,1.5828,1.5587,1.88224,-0.00150000000000006,1.5638
11-12-2014,1.5732,1.5715,1.5756,1.565,0.10%,0.0178,1.5828,1.557,1.88239,-0.000700000000001921,1.5749
12-12-2014,1.572,1.5734,1.5747,1.5694,-0.08%,0.0178,1.5828,1.5542,1.88246,-0.00239999999999796,1.5575
15-12-2014,1.5638,1.572,1.5747,1.56,-0.52%,0.0178,1.5828,1.5542,1.8827,0.00739999999999696,1.5671
16-12-2014,1.5749,1.5638,1.5787,1.561,0.71%,0.0178,1.5765,1.5542,1.88196,0.00980000000000203,1.5631
17-12-2014,1.5575,1.5749,1.5757,1.5544,-1.10%,0.0178,1.5787,1.5542,1.88098,-0.0099000000000018,1.559
18-12-2014,1.5671,1.5576,1.568,1.555,0.62%,0.0213000000000001,1.5787,1.5542,1.88197,0.0152999999999999,1.5522
19-12-2014,1.5631,1.5671,1.5684,1.5604,-0.26%,0.0213000000000001,1.5787,1.5542,1.88044,-0.00339999999999918,1.556
22-12-2014,1.559,1.562,1.5667,1.5573,-0.26%,0.0213000000000001,1.5787,1.5542,1.88078,0.00659999999999883,1.5538
23-12-2014,1.5522,1.5591,1.561,1.5486,-0.44%,0.0213000000000001,1.5787,1.5542,1.88012,0.00840000000000174,1.5556
24-12-2014,1.556,1.5522,1.5566,1.5503,0.24%,0.0213000000000001,1.5787,1.5542,1.87928,0.00659999999999883,1.5514
25-12-2014,1.5538,1.5557,1.5567,1.5528,-0.14%,0.0213000000000001,1.5787,1.5544,1.87862,0.00970000000000226,1.5559
26-12-2014,1.5556,1.554,1.557,1.5538,0.12%,0.0213000000000001,1.5787,1.5544,1.87765,0.0131999999999977,1.5575
29-12-2014,1.5514,1.5568,1.5588,1.5508,-0.27%,0.0213000000000001,1.5787,1.5486,1.87633,0.0147000000000013,1.5545
30-12-2014,1.5559,1.5515,1.5575,1.55,0.29%,0.0213000000000001,1.5787,1.5486,1.87486,0.0218999999999987,1.5328
31-12-2014,1.5575,1.5559,1.5621,1.5549,0.10%,0.0213000000000001,1.5787,1.5486,1.87267,0.0161000000000016,1.525
01-01-2015,1.5545,1.5577,1.5581,1.5545,-0.19%,0.0213000000000001,1.5787,1.5486,1.87106,0.00609999999999999,1.5151
02-01-2015,1.5328,1.5585,1.5587,1.5328,-1.40%,0.0213000000000001,1.5757,1.5486,1.87045,0.0164000000000009,1.5111
05-01-2015,1.525,1.5332,1.5337,1.52,-0.51%,0.0259,1.5684,1.5486,1.86881,0.0244,1.5088
06-01-2015,1.5151,1.5249,1.5275,1.5141,-0.65%,0.0259,1.5684,1.5486,1.86637,0.0421999999999976,1.516
07-01-2015,1.5111,1.5151,1.5157,1.5055,-0.26%,0.0259,1.5667,1.5486,1.86215,0.0469000000000008,1.5171
08-01-2015,1.5088,1.5109,1.5118,1.5034,-0.15%,0.0259,1.5621,1.5328,1.85746,0.0482000000000014,1.5159
09-01-2015,1.516,1.509,1.5177,1.5076,0.48%,0.0259,1.5621,1.52,1.85264,0.0431999999999988,1.5232
12-01-2015,1.5171,1.5184,1.5194,1.5097,0.07%,0.0259,1.5621,1.5141,1.84832,0.0373000000000019,1.5183
13-01-2015,1.5159,1.517,1.5192,1.5075,-0.08%,0.0259,1.5621,1.5055,1.84459,0.036999999999999,1.5151
14-01-2015,1.5232,1.516,1.5269,1.5143,0.48%,0.0259,1.5621,1.5034,1.84089,0.0408000000000008,1.5111
15-01-2015,1.5183,1.5236,1.5269,1.5151,-0.32%,0.0259,1.5621,1.5034,1.83681,0.0278999999999989,1.5145
16-01-2015,1.5151,1.5185,1.5237,1.5076,-0.21%,0.0259,1.5621,1.5034,1.83402,0.0374000000000017,1.5143
